album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
01dJRWQe9M8Hr1hTrMelz8,Unbroken (feat. Gia Koka),artist:f81858b2-e07d-6bc5-8801-ffd55ef10382,album,2016,,1,,,01dJRWQe9M8Hr1hTrMelz8,,tidy_tuesday_dbcl
01dkVTJhjXbhGCW4VUelmq,Suavemente,artist:a80377e0-3993-1651-76fb-184d7b796044,album,1998,,1,,,01dkVTJhjXbhGCW4VUelmq,,tidy_tuesday_dbcl
01droebOkIprq7RktcmMjs,II,artist:e15a18a4-4c61-d44e-2d7c-c2846f454315,album,2018,,1,,,01droebOkIprq7RktcmMjs,,tidy_tuesday_dbcl
01ebUKWh4BL9IENdRlacII,EL OG,artist:c42a7d08-1654-a8db-a3b0-77653800d63e,album,2018,,1,,,01ebUKWh4BL9IENdRlacII,,tidy_tuesday_dbcl
01fWUTXKGnFAsm0v4qWZwD,The Anthology,artist:edb3caab-5a32-03f4-63be-d4309441c4f2,album,2009,,1,,,01fWUTXKGnFAsm0v4qWZwD,,tidy_tuesday_dbcl
01ggQGlQ4i7SksCQ2fgLwn,Malibu (Tiësto Remix),artist:5abffb37-857a-2f03-c7b6-0ac7ac792a42,album,2017,,1,,,01ggQGlQ4i7SksCQ2fgLwn,,tidy_tuesday_dbcl
01hkRLtMJmQX2vjvT02T1c,Armageddon,artist:bbc9cf60-739f-001d-1e4f-553caf86a6e1,album,2016,,1,,,01hkRLtMJmQX2vjvT02T1c,,tidy_tuesday_dbcl
01hp4DvayKlnqUQrmk0vvz,A Fever You Can't Sweat Out,artist:dcedddd6-e1a0-d487-0abf-555f938d9c10,album,2005,,1,,,01hp4DvayKlnqUQrmk0vvz,,tidy_tuesday_dbcl
01iw3ZO4AQKvvIjXq5wPEL,Wild One - The Very Best Of Thin Lizzy (Remastered Version),artist:4d56b83d-690b-7929-36ac-ade516ff511b,album,1996,,3,,,01iw3ZO4AQKvvIjXq5wPEL,,tidy_tuesday_dbcl
01jdXmJaiRf52DRqTExXhY,25,artist:372c2c6f-7ed4-f0b4-75a3-31b9e6fd18c2,album,2014,,9,,,01jdXmJaiRf52DRqTExXhY,,tidy_tuesday_dbcl
01lCYPIxn1R8RZlcXzF5Mf,R&B Christmas Volume 1,artist:40b8e74d-c062-ddb7-978f-ba08fb787f3f,album,2004,,1,,,01lCYPIxn1R8RZlcXzF5Mf,,tidy_tuesday_dbcl
